REG;ANNEE;CPG;CPG_1;CPG_2;CPG_3;CPG_4;CPG_E;CPG_E_1;CPG_E_2;CPG_E_3;CPG_E_4;CPG_EL;CPG_EL_1;CPG_EL_2;CPG_EL_3;CPG_EL_4;CPG_EO;CPG_EO_1;CPG_EO_2;CPG_EO_3;CPG_EO_4
11;2012;98;26;35;26;11;15199;2398;4343;5530;2928;7523;1659;2434;2134;1296;7676;739;1909;3396;1632
21;2012;88;19;39;23;7;8058;959;2829;3280;990;1404;319;422;538;125;6654;640;2407;2742;865
22;2012;182;42;82;45;13;20775;2759;8604;5703;3709;13401;2035;5542;3582;2242;7374;724;3062;2121;1467
23;2012;107;21;47;28;11;10297;1085;3860;3429;1923;4933;706;1461;1473;1293;5364;379;2399;1956;630
24;2012;251;40;126;62;23;21288;1698;8340;6562;4688;2768;135;1184;660;789;18520;1563;7156;5902;3899
25;2012;227;26;102;66;33;28205;1665;8782;10537;7221;10445;811;3075;4264;2295;17760;854;5707;6273;4926
26;2012;199;48;68;68;15;14141;2180;3543;6380;2038;1120;499;324;128;169;13021;1681;3219;6252;1869
31;2012;340;107;151;69;13;34744;6200;15952;9949;2643;27146;5289;12540;6935;2382;7598;911;3412;3014;261
41;2012;155;42;77;28;8;16337;3083;8380;3360;1514;6920;1803;3760;938;419;9417;1280;4620;2422;1095
42;2012;99;9;54;27;9;11368;372;5429;4146;1421;3603;158;2308;1048;89;7765;214;3121;3098;1332
43;2012;121;28;49;36;8;13437;1515;3910;5126;2886;1600;332;670;252;346;11837;1183;3240;4874;2540
52;2012;615;46;251;201;117;85433;2788;22759;30127;29759;23645;510;4837;8222;10076;61788;2278;17922;21905;19683
53;2012;738;82;407;188;61;85750;4549;38857;27208;15136;13364;581;4650;5789;2344;72386;3968;34207;21419;12792
54;2012;398;42;192;111;53;54532;2282;19505;18418;14327;11937;461;3469;4421;3586;42595;1821;16036;13997;10741
72;2012;686;99;250;227;110;106549;7201;28067;37649;33632;20319;999;6854;6842;5624;86230;6202;21213;30807;28008
73;2012;581;73;243;213;52;42150;2721;13084;18001;8344;4208;176;1529;1945;558;37942;2545;11555;16056;7786
74;2012;176;29;79;55;13;11477;856;3818;5212;1591;539;10;183;281;65;10938;846;3635;4931;1526
82;2012;837;111;359;282;85;72393;4723;24108;29634;13928;11440;1499;3956;4657;1328;60953;3224;20152;24977;12600
83;2012;299;40;147;93;19;21361;1639;8687;8616;2419;1769;7;1118;584;60;19592;1632;7569;8032;2359
91;2012;750;119;286;242;103;116739;6688;30673;45665;33713;21755;1141;5402;8438;6774;94984;5547;25271;37227;26939
93;2012;704;68;300;241;95;95030;4969;28329;37251;24481;17827;863;5388;6870;4706;77203;4106;22941;30381;19775
94;2012;141;31;52;48;10;20263;3319;6446;7486;3012;366;1;166;70;129;19897;3318;6280;7416;2883
11;2011;99;26;36;26;11;15706;2394;4425;5969;2918;7680;1659;2495;2240;1286;8026;735;1930;3729;1632
21;2011;88;19;41;21;7;7825;917;2990;2959;959;1461;357;458;521;125;6364;560;2532;2438;834
22;2011;187;47;82;46;12;20867;3297;8288;5778;3504;13497;2681;5144;3611;2061;7370;616;3144;2167;1443
23;2011;107;20;46;29;12;10257;1107;3695;3577;1878;4937;715;1465;1589;1168;5320;392;2230;1988;710
24;2011;258;41;130;67;20;21787;1762;8396;7279;4350;2817;135;1212;913;557;18970;1627;7184;6366;3793
25;2011;235;27;110;64;34;28942;1681;9499;10538;7224;10916;815;3468;4063;2570;18026;866;6031;6475;4654
26;2011;205;52;70;68;15;14369;2347;3646;6340;2036;1132;524;314;127;167;13237;1823;3332;6213;1869
31;2011;339;105;152;69;13;34718;6214;15910;9957;2637;27088;5292;12485;6929;2382;7630;922;3425;3028;255
41;2011;157;42;79;28;8;16406;3016;8548;3325;1517;6742;1668;3763;912;399;9664;1348;4785;2413;1118
42;2011;100;9;57;25;9;11439;372;5684;3936;1447;3682;158;2431;996;97;7757;214;3253;2940;1350
43;2011;122;29;48;37;8;13337;1526;3893;5229;2689;1386;324;655;260;147;11951;1202;3238;4969;2542
52;2011;611;48;253;196;114;85191;2964;23856;29298;29073;23518;644;5362;7719;9793;61673;2320;18494;21579;19280
53;2011;739;76;415;188;60;86372;4283;39875;27363;14851;12756;365;4542;5591;2258;73616;3918;35333;21772;12593
54;2011;399;39;205;107;48;54530;2244;21228;18127;12931;11886;457;4223;3867;3339;42644;1787;17005;14260;9592
72;2011;682;102;256;234;90;106227;7397;29156;42818;26856;19869;909;6727;7392;4841;86358;6488;22429;35426;22015
73;2011;578;75;248;210;45;41679;2907;13617;18139;7016;4019;218;1590;1801;410;37660;2689;12027;16338;6606
74;2011;176;31;79;56;10;11653;978;4132;5300;1243;586;41;230;270;45;11067;937;3902;5030;1198
82;2011;838;115;361;289;73;71782;4982;24459;30403;11938;11556;1629;4062;4780;1085;60226;3353;20397;25623;10853
83;2011;299;41;146;93;19;21427;1652;8727;8656;2392;1634;7;990;578;59;19793;1645;7737;8078;2333
91;2011;753;127;298;254;74;116865;7842;35456;47287;26280;21491;1288;6435;8154;5614;95374;6554;29021;39133;20666
93;2011;707;73;307;236;91;95642;5297;29360;37310;23675;17986;784;5961;6732;4509;77656;4513;23399;30578;19166
